Volume,NumAtoms,EOpt,Energy
279.6834493,24,-180.2657254,-180.225944
69.21846011,6,-53.50445873,-53.504508
125.1400981,12,-110.5571464,-110.522027
268.7064983,24,-186.6280823,-186.600966
132.6800544,12,-96.46276218,-96.45869516
74.25401606,6,-49.72761043,-49.7268217
66.53137942,6,-56.34009354,-56.30994938
74.25401604,6,-48.16187102,-48.15608967
128.4548976,12,-112.6373257,-112.6275026
127.6207774,12,-105.877281,-105.8573623
267.1622118,24,-211.8817901,-211.8067079
130.1340254,12,-102.6443808,-102.6416755
276.5172518,24,-205.3436393,-205.3431016
76.56826295,6,-49.72761043,-49.69597114
65.6874397,6,-53.00515154,-53.00400965
71.98687683,6,-52.99484462,-52.99028576
70.31714547,6,-52.99484462,-52.95548579
268.7064983,24,-211.8817901,-211.8418503
73.68283384,6,-54.69511695,-54.67178864
126.7902761,12,-109.206911,-109.194903
264.0914121,24,-218.6038189,-218.5232307
66.95604651,6,-49.84843948,-49.84702381
61.97796346,6,-58.07403642,-58.01968835
71.42739587,6,-56.43953607,-56.43895773
