Energy,Attyps,Coord1,Coord2,Coord3,Coord4,Coord5,Coord6,Coord7,Coord8,Coord9,Coord10,Coord11,Coord12
-722.5331278,4;8,-0.000003791;0.176766003;0.250001264,0.000003791;0.823233997;0.749998780,0.500002966;0.676786726;0.249998352,0.499997034;0.323213274;0.750001692,0.271877875;0.379365021;0.418793176,0.728122125;0.620634979;0.581206868,0.228104478;0.120602633;0.918765919,0.771895522;0.879397367;0.081234125,0.771863873;0.120588803;0.581215488,0.228136127;0.879411197;0.418784556,0.728097976;0.379370245;0.081232277,0.271902024;0.620629755;0.918767767
-722.5338584,4;8,-0.000003791;0.176766003;0.250001265,0.000003791;0.823233997;0.749998781,0.500002966;0.676786726;0.249998353,0.499997034;0.323213274;0.750001693,0.271877875;0.379365021;0.418793177,0.728122125;0.620634979;0.581206869,0.228104478;0.120602633;0.918765920,0.771895522;0.879397367;0.081234126,0.771863873;0.120588803;0.581215489,0.228136127;0.879411197;0.418784557,0.728097976;0.379370245;0.081232278,0.271902024;0.620629755;0.918767768
-722.5310867,4;8,-0.000003791;0.176766003;0.250001266,0.000003791;0.823233997;0.749998782,0.500002966;0.676786726;0.249998354,0.499997034;0.323213274;0.750001694,0.271877875;0.379365021;0.418793178,0.728122125;0.620634979;0.581206870,0.228104478;0.120602633;0.918765921,0.771895522;0.879397367;0.081234127,0.771863873;0.120588803;0.581215490,0.228136127;0.879411197;0.418784558,0.728097976;0.379370245;0.081232279,0.271902024;0.620629755;0.918767769
-722.5250226,4;8,-0.000003791;0.176766003;0.250001267,0.000003791;0.823233997;0.749998783,0.500002966;0.676786726;0.249998355,0.499997034;0.323213274;0.750001695,0.271877875;0.379365021;0.418793179,0.728122125;0.620634979;0.581206871,0.228104478;0.120602633;0.918765922,0.771895522;0.879397367;0.081234128,0.771863873;0.120588803;0.581215491,0.228136127;0.879411197;0.418784559,0.728097976;0.379370245;0.081232280,0.271902024;0.620629755;0.918767770
-722.5158185,4;8,-0.000003791;0.176766003;0.250001268,0.000003791;0.823233997;0.749998784,0.500002966;0.676786726;0.249998356,0.499997034;0.323213274;0.750001696,0.271877875;0.379365021;0.418793180,0.728122125;0.620634979;0.581206872,0.228104478;0.120602633;0.918765923,0.771895522;0.879397367;0.081234129,0.771863873;0.120588803;0.581215492,0.228136127;0.879411197;0.418784560,0.728097976;0.379370245;0.081232281,0.271902024;0.620629755;0.918767771
-722.5036295,4;8,-0.000003791;0.176766003;0.250001269,0.000003791;0.823233997;0.749998785,0.500002966;0.676786726;0.249998357,0.499997034;0.323213274;0.750001697,0.271877875;0.379365021;0.418793181,0.728122125;0.620634979;0.581206873,0.228104478;0.120602633;0.918765924,0.771895522;0.879397367;0.081234130,0.771863873;0.120588803;0.581215493,0.228136127;0.879411197;0.418784561,0.728097976;0.379370245;0.081232282,0.271902024;0.620629755;0.918767772
-722.2489418,4;8,-0.000003791;0.176766003;0.250001270,0.000003791;0.823233997;0.749998786,0.500002966;0.676786726;0.249998358,0.499997034;0.323213274;0.750001698,0.271877875;0.379365021;0.418793182,0.728122125;0.620634979;0.581206874,0.228104478;0.120602633;0.918765925,0.771895522;0.879397367;0.081234131,0.771863873;0.120588803;0.581215494,0.228136127;0.879411197;0.418784562,0.728097976;0.379370245;0.081232283,0.271902024;0.620629755;0.918767773
-722.2549436,4;8,-0.000003791;0.176766003;0.250001271,0.000003791;0.823233997;0.749998787,0.500002966;0.676786726;0.249998359,0.499997034;0.323213274;0.750001699,0.271877875;0.379365021;0.418793183,0.728122125;0.620634979;0.581206875,0.228104478;0.120602633;0.918765926,0.771895522;0.879397367;0.081234132,0.771863873;0.120588803;0.581215495,0.228136127;0.879411197;0.418784563,0.728097976;0.379370245;0.081232284,0.271902024;0.620629755;0.918767774
-722.2572506,4;8,-0.000003791;0.176766003;0.250001272,0.000003791;0.823233997;0.749998788,0.500002966;0.676786726;0.249998360,0.499997034;0.323213274;0.750001700,0.271877875;0.379365021;0.418793184,0.728122125;0.620634979;0.581206876,0.228104478;0.120602633;0.918765927,0.771895522;0.879397367;0.081234133,0.771863873;0.120588803;0.581215496,0.228136127;0.879411197;0.418784564,0.728097976;0.379370245;0.081232285,0.271902024;0.620629755;0.918767775
-722.256026,4;8,-0.000003791;0.176766003;0.250001273,0.000003791;0.823233997;0.749998789,0.500002966;0.676786726;0.249998361,0.499997034;0.323213274;0.750001701,0.271877875;0.379365021;0.418793185,0.728122125;0.620634979;0.581206877,0.228104478;0.120602633;0.918765928,0.771895522;0.879397367;0.081234134,0.771863873;0.120588803;0.581215497,0.228136127;0.879411197;0.418784565,0.728097976;0.379370245;0.081232286,0.271902024;0.620629755;0.918767776
