Energy,CalcType,AtomIndex,DChargeRHigh,DChargeRLow,DChargeRCenter,PChargeRHigh,PChargeRLow,PChargeRCenter,DMagP,PMagP
-427.7550569,Chi0,32,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,33,0,0,0,3.487,3.488,3.487,0,0
-427.7550569,Chi0,34,0,0,0,3.481,3.493,3.487,0,0
-427.7550569,Chi0,35,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,36,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,37,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,38,0,0,0,3.481,3.493,3.487,0,0
-427.7550569,Chi0,39,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,40,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,41,0,0,0,3.487,3.488,3.487,0,0
-427.7550569,Chi0,42,0,0,0,3.483,3.491,3.487,0,0
-427.7550569,Chi0,43,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,44,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,45,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,46,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,47,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,48,0,0,0,3.487,3.487,3.487,0,0
-429.22488,Chi,1,1.951,1.909,1.93,6.45,6.455,6.452,0,0
-429.22488,Chi,2,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,3,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,4,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,5,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,6,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,7,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,8,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,9,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,10,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,11,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,12,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,13,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,14,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,15,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,16,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi,17,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,18,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,19,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,20,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,21,0,0,0,3.491,3.493,3.492,0,0
-429.22488,Chi,22,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,23,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,24,0,0,0,3.491,3.493,3.492,0,0
-429.22488,Chi,25,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,26,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,27,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,28,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,29,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,30,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,31,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,32,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,33,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,34,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,35,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,36,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,37,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,38,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,39,0,0,0,3.491,3.493,3.492,0,0
-429.22488,Chi,40,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,41,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,42,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,43,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,44,0,0,0,3.491,3.493,3.492,0,0
-429.22488,Chi,45,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,46,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi,47,0,0,0,3.491,3.493,3.492,0,0
-429.22488,Chi,48,0,0,0,3.491,3.493,3.492,0,0
-429.22488,Chi0,1,1.985,1.877,1.93,6.452,6.453,6.452,0,0
-429.22488,Chi0,2,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi0,3,1.929,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi0,4,1.929,1.93,1.93,6.452,6.453,6.452,0,0
