Energy,NELMDL,SYMPREC,ISYM,IBRION,SIGMA,NELMIN,KPointSampling,KPoints,LDAUL,LDAUJ,ENCUT,ISIF,ICHARG,GGA,LDAUPRINT,LDAUU,Pseudopotential1,Pseudopotential2,NELM,NSW,LASPH,MAXMIX,EDIFF,ISMEAR,ISTART,LDAU,LMAXMIX,EDIFFG,ISPIN,LDAUTYPE,LORBIT,AEXX,NKRED,PRECFOCK,NBANDS,LMAXFOCK,ALGO,LHFCALC,TIME,HFSCREEN
-110.541329,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,0;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-48.364324,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,4.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-206.828169,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,2.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-106.928322,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,1.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-93.410818,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,5.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-53.462521,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,1.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-193.177992,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,4.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-96.635866,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,4.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-110.54097,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,0;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-50.037473,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,3.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-213.943367,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,1.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-45.230525,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,6.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-110.557043,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,0;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-53.494014,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,1.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-53.495812,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,1.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-96.649944,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,4.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-44.97067,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,6.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-55.302972,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,0;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
